title,tag,artist,year,views,lyrics,language,processed_lyrics,processed_LDA_lyrics,topic,theme
Piledriver Waltz,rock,arctic monkeys,2011,185864,"[Verse 1]
I etched the face of a stopwatch on the back of a raindrop
And did a swap for the sand in an hourglass
I heard an unhappy ending, it sort of sounds like you leaving
I heard the piledriver waltz, it woke me up this morning

[Chorus]
You look like you've been for breakfast at the heartbreak hotel
And sat in the back booth by the pamphlets
And the literature on how to lose
Your waitress was miserable and so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes

[Verse 2]
Mysteries flashing amber go green when you answer
But the red on the rest of the questionnaire never changes
I heard the news that you're planning
To shoot me out of a cannon
I heard the piledriver waltz, it woke me up this morning
[Chorus]
You look like you've been for breakfast at the heartbreak hotel
And sat in the back booth by the pamphlets
And the literature on how to lose
Your waitress was miserable and so was your food
If you're gonna try and walk on water
Make sure you wear your comfortable shoes

[Outro]
Oh-oh, oh-oh
Piledriver",en,"i etched the face of a stopwatch on the back of a raindrop and did a swap for the sand in an hourglass i heard an unhappy ending , it sort of sounds like you leaving i heard the piledriver waltz , it woke me up this morning  you look like you've been for breakfast at the heartbreak hotel and sat in the back booth by the pamphlets and the literature on how to lose your waitress was miserable and so was your food if you're gonna try and walk on water make sure you wear your comfortable shoes  mysteries flashing amber go green when you answer but the red on the rest of the questionnaire never changes i heard the news that you're planning to shoot me out of a cannon i heard the piledriver waltz , it woke me up this morning  you look like you've been for breakfast at the heartbreak hotel and sat in the back booth by the pamphlets and the literature on how to lose your waitress was miserable and so was your food if you're gonna try and walk on water make sure you wear your comfortable shoes  oh-oh , oh-oh piledriver","['etched', 'face', 'stopwatch', 'raindrop', 'swap', 'sand', 'hourglass', 'heard', 'unhappy', 'ending', 'sort', 'sounds', 'like', 'leaving', 'heard', 'piledriver', 'waltz', 'woke', 'morning', 'look', 'like', 'breakfast', 'heartbreak', 'hotel', 'sat', 'booth', 'pamphlets', 'literature', 'lose', 'waitress', 'miserable', 'food', 'gon', 'na', 'try', 'walk', 'water', 'sure', 'wear', 'comfortable', 'shoes', 'mysteries', 'flashing', 'amber', 'green', 'answer', 'red', 'rest', 'questionnaire', 'changes', 'heard', 'news', 'planning', 'shoot', 'cannon', 'heard', 'piledriver', 'waltz', 'woke', 'morning', 'look', 'like', 'breakfast', 'heartbreak', 'hotel', 'sat', 'booth', 'pamphlets', 'literature', 'lose', 'waitress', 'miserable', 'food', 'gon', 'na', 'try', 'walk', 'water', 'sure', 'wear', 'comfortable', 'shoes', 'oh', 'oh', 'oh', 'oh', 'piledriver']",1,Reflections
Black Treacle,rock,arctic monkeys,2012,104985,"[Verse 1]
Lately, I've been seeing things
Belly button piercings
In the sky at night
When we're side by side
And I don't mean to rain
On anybody's cabriolet
One of those games you're gonna lose
But you wanna play it, just in case

[Chorus]
Now it's getting dark and the sky looks sticky
More like black treacle than tar
Black treacle
Somebody told the stars you're not coming out tonight
And so they found a place to hide

[Verse 2]
Does it help you stay up late?
Does it help you concentrate?
Does it tune you in when you chew your chin?
Am I ruining your fun?
And you talk the talk alright
But do you walk the walk or catch the train?
You wanted it, you got it
But you don't want it now
[Chorus]
Now it's getting dark and the sky looks sticky
More like black treacle than tar
Black treacle
Somebody told the stars you're not coming out tonight
And so they found a place to hide

[Bridge]
Now I'm out of place and I'm not getting any wiser
I feel like the Sundance Kid behind a synthesizer
And I tried last night to pack away your laugh
Like a key under the mat
But it never seems to be there when you want it

[Outro]
Black treacle
Black treacle
Black treacle",en,"lately , i've been seeing things belly button piercings in the sky at night when we're side by side and i don't mean to rain on anybody's cabriolet one of those games you're gonna lose but you wanna play it , just in case  now it's getting dark and the sky looks sticky more like black treacle than tar black treacle somebody told the stars you're not coming out tonight and so they found a place to hide  does it help you stay up late ? does it help you concentrate ? does it tune you in when you chew your chin ? am i ruining your fun ? and you talk the talk alright but do you walk the walk or catch the train ? you wanted it , you got it but you don't want it now  now it's getting dark and the sky looks sticky more like black treacle than tar black treacle somebody told the stars you're not coming out tonight and so they found a place to hide  now i'm out of place and i'm not getting any wiser i feel like the sundance kid behind a synthesizer and i tried last night to pack away your laugh like a key under the mat but it never seems to be there when you want it  black treacle black treacle black treacle","['lately', 'seeing', 'things', 'belly', 'button', 'piercings', 'sky', 'night', 'mean', 'rain', 'anybody', 'cabriolet', 'games', 'gon', 'na', 'lose', 'wanna', 'play', 'case', 'getting', 'dark', 'sky', 'looks', 'sticky', 'like', 'black', 'treacle', 'tar', 'black', 'treacle', 'somebody', 'told', 'stars', 'coming', 'tonight', 'found', 'place', 'hide', 'help', 'stay', 'late', 'help', 'concentrate', 'tune', 'chew', 'chin', 'ruining', 'fun', 'talk', 'talk', 'alright', 'walk', 'walk', 'catch', 'train', 'wanted', 'got', 'want', 'getting', 'dark', 'sky', 'looks', 'sticky', 'like', 'black', 'treacle', 'tar', 'black', 'treacle', 'somebody', 'told', 'stars', 'coming', 'tonight', 'found', 'place', 'hide', 'place', 'getting', 'wiser', 'feel', 'like', 'sundance', 'kid', 'synthesizer', 'tried', 'night', 'pack', 'away', 'laugh', 'like', 'key', 'mat', 'want', 'black', 'treacle', 'black', 'treacle', 'black', 'treacle']",7,Social Scenes
Reckless Serenade,rock,arctic monkeys,2011,92819,"[Verse 1]
Topless models doing semaphore
Wave their flags as she walks by and get ignored
Illuminations on a rainy day
When she walks, her footsteps sing a reckless serenade

[Chorus]
I've been trying to figure out exactly what it is I need
Called up to listen to the voice of reason
And got the answering machine

[Verse 2]
The type of kisses where teeth collide
When she laughs, the heavens hum a stun gun lullaby
Those twinkling vixens with the shining spiral eyes
Their hypnosis goes unnoticed when she's walking by

[Chorus]
I've been trying to figure out exactly what it is I need
Called up to listen to the voice of reason
And got his answering machine
[Bridge]
I left my message, but did he fuck get back to me
And now I'm stuck still wondering how it's meant to be

[Outro]
Singing a reckless serenade, reckless serenade
Reckless serenade, reckless serenade
Reckless serenade, reckless serenade
Reckless serenade",en,"topless models doing semaphore wave their flags as she walks by and get ignored illuminations on a rainy day when she walks , her footsteps sing a reckless serenade  i've been trying to figure out exactly what it is i need called up to listen to the voice of reason and got the answering machine  the type of kisses where teeth collide when she laughs , the heavens hum a stun gun lullaby those twinkling vixens with the shining spiral eyes their hypnosis goes unnoticed when she's walking by  i've been trying to figure out exactly what it is i need called up to listen to the voice of reason and got his answering machine  i left my message , but did he fuck get back to me and now i'm stuck still wondering how it's meant to be  singing a reckless serenade , reckless serenade reckless serenade , reckless serenade reckless serenade , reckless serenade reckless serenade","['topless', 'models', 'semaphore', 'wave', 'flags', 'walks', 'ignored', 'illuminations', 'rainy', 'day', 'walks', 'footsteps', 'sing', 'reckless', 'serenade', 'trying', 'figure', 'exactly', 'need', 'called', 'listen', 'voice', 'reason', 'got', 'answering', 'machine', 'type', 'kisses', 'teeth', 'collide', 'laughs', 'heavens', 'hum', 'stun', 'gun', 'lullaby', 'twinkling', 'vixens', 'shining', 'spiral', 'eyes', 'hypnosis', 'goes', 'unnoticed', 'walking', 'trying', 'figure', 'exactly', 'need', 'called', 'listen', 'voice', 'reason', 'got', 'answering', 'machine', 'left', 'message', 'fuck', 'stuck', 'wondering', 'meant', 'singing', 'reckless', 'serenade', 'reckless', 'serenade', 'reckless', 'serenade', 'reckless', 'serenade', 'reckless', 'serenade', 'reckless', 'serenade', 'reckless', 'serenade']",10,Social Scenes
Shes Thunderstorms,rock,arctic monkeys,2011,127148,"[Chorus]
She's thunderstorms
Lying on her front, up against the wall
She's thunderstorms

[Verse 1]
I've been feeling foolish, you should try it
She came and substituted the peace and quiet for
Acrobatic blood flow concertina
Cheating heart beat, rapid fire

[Chorus]
She's thunderstorms
Lying on her front, up against the wall
She's thunderstorms
Here is your host, sounds as if she's pretty close
When the heat starts growing horns
She's thunderstorms

[Verse 2]
She's been loop-the-looping around my mind
Her motorcycle boots give me this kind of
Acrobatic blood concertina
Cheating heart beat, rapid fire
[Chorus]
She's thunderstorms
Lying on her front, up against the wall
She's thunderstorms

[Bridge]
In an unusual place, when you're feeling far away
She does what the night does to the day

[Chorus]
She's thunderstorms
Lying on her front, up against the wall
She's thunderstorms
Thunderstorms
Thunderstorms",en,"she's thunderstorms lying on her front , up against the wall she's thunderstorms  i've been feeling foolish , you should try it she came and substituted the peace and quiet for acrobatic blood flow concertina cheating heart beat , rapid fire  she's thunderstorms lying on her front , up against the wall she's thunderstorms here is your host , sounds as if she's pretty close when the heat starts growing horns she's thunderstorms  she's been loop-the-looping around my mind her motorcycle boots give me this kind of acrobatic blood concertina cheating heart beat , rapid fire  she's thunderstorms lying on her front , up against the wall she's thunderstorms  in an unusual place , when you're feeling far away she does what the night does to the day  she's thunderstorms lying on her front , up against the wall she's thunderstorms thunderstorms thunderstorms","['thunderstorms', 'lying', 'wall', 'thunderstorms', 'feeling', 'foolish', 'try', 'came', 'substituted', 'peace', 'quiet', 'acrobatic', 'blood', 'flow', 'concertina', 'cheating', 'heart', 'beat', 'rapid', 'fire', 'thunderstorms', 'lying', 'wall', 'thunderstorms', 'host', 'sounds', 'pretty', 'close', 'heat', 'starts', 'growing', 'horns', 'thunderstorms', 'loop', 'looping', 'mind', 'motorcycle', 'boots', 'kind', 'acrobatic', 'blood', 'concertina', 'cheating', 'heart', 'beat', 'rapid', 'fire', 'thunderstorms', 'lying', 'wall', 'thunderstorms', 'unusual', 'place', 'feeling', 'far', 'away', 'night', 'day', 'thunderstorms', 'lying', 'wall', 'thunderstorms', 'thunderstorms', 'thunderstorms']",6,Social Scenes
Suck It and See,rock,arctic monkeys,2011,354756,"[Verse 1]
Your love is like a studded leather headlock
Your kiss, it could put creases in the rain
You're rarer than a can of dandelion and burdock
And those other girls are just post-mix lemonade

[Chorus]
Suck it and see, you never know
Sit next to me before I go
Jigsaw women with horror movie shoes
Be cruel to me 'cause I am a fool for you

[Verse 2]
I poured my aching heart into a pop song
I couldn't get the hang of poetry
That's not a skirt, girl, that's a sawn-off shotgun
And I can only hope you've got it aimed at me

[Chorus]
Suck it and see, you never know
Sit next to me before I go
Jigsaw women with horror movie shoes
Be cruel to me 'cause I am a fool for
[Bridge]
Blue moon girls from once upon a Shangri-La
How I often wonder where you are
You have got that face that just says
""Baby, I was made to break your heart"", oh-oh-oh

[Chorus]
Suck it and see, you never know
Sit next to me before I go, go, go, go
Jigsaw women with horror movie shoes
Be cruel to me 'cause I am a fool for you",en,"your love is like a studded leather headlock your kiss , it could put creases in the rain you're rarer than a can of dandelion and burdock and those other girls are just post-mix lemonade  suck it and see , you never know sit next to me before i go jigsaw women with horror movie shoes be cruel to me 'cause i am a fool for you  i poured my aching heart into a pop song i couldn't get the hang of poetry that's not a skirt , girl , that's a sawn-off shotgun and i can only hope you've got it aimed at me  suck it and see , you never know sit next to me before i go jigsaw women with horror movie shoes be cruel to me 'cause i am a fool for  blue moon girls from once upon a shangri-la how i often wonder where you are you have got that face that just says ""baby , i was made to break your heart"" , oh-oh-oh  suck it and see , you never know sit next to me before i go , go , go , go jigsaw women with horror movie shoes be cruel to me 'cause i am a fool for you","['love', 'like', 'studded', 'leather', 'headlock', 'kiss', 'creases', 'rain', 'rarer', 'dandelion', 'burdock', 'girls', 'post', 'mix', 'lemonade', 'suck', 'know', 'sit', 'jigsaw', 'women', 'horror', 'movie', 'shoes', 'cruel', 'fool', 'poured', 'aching', 'heart', 'pop', 'song', 'hang', 'poetry', 'skirt', 'girl', 'sawn', 'shotgun', 'hope', 'got', 'aimed', 'suck', 'know', 'sit', 'jigsaw', 'women', 'horror', 'movie', 'shoes', 'cruel', 'fool', 'blue', 'moon', 'girls', 'shangri', 'la', 'wonder', 'got', 'face', 'says', 'baby', 'break', 'heart', 'oh', 'oh', 'oh', 'suck', 'know', 'sit', 'jigsaw', 'women', 'horror', 'movie', 'shoes', 'cruel', 'fool']",6,Social Scenes
All My Own Stunts,rock,arctic monkeys,2011,49921,"[Verse 1]
Caricatures of your wrecking ball gown
In my mind all the time
I wanna be in that damsel patterned alley
Where you go for a smoke
And sorrow slow dances
The phones are lighting up
Taking no chances
Close but never close enough

[Chorus]
Been watching cowboy films
On gloomy afternoons
Tinting the solitude
Put on your dancing shoes
And show me what to do
I know you've got the moves

[Verse 2]
All my own stunts, high noon has changed its tune
Linking arms, sinking hearts
And sorrow slow dances
Around the edges of her eyes
Taking no chances
The last one out to win a prize
[Chorus]
Been watching cowboy films
On gloomy afternoons
Tinting the solitude
Put on your dancing shoes
And show me what to do
I know you've got the moves

[Instrumental Break]

[Outro: ""I'm From High Green"" snippet]
I'm from High Green
I'm from High Green",en,"caricatures of your wrecking ball gown in my mind all the time i wanna be in that damsel patterned alley where you go for a smoke and sorrow slow dances the phones are lighting up taking no chances close but never close enough  been watching cowboy films on gloomy afternoons tinting the solitude put on your dancing shoes and show me what to do i know you've got the moves  all my own stunts , high noon has changed its tune linking arms , sinking hearts and sorrow slow dances around the edges of her eyes taking no chances the last one out to win a prize  been watching cowboy films on gloomy afternoons tinting the solitude put on your dancing shoes and show me what to do i know you've got the moves   i'm from high green i'm from high green","['caricatures', 'wrecking', 'ball', 'gown', 'mind', 'time', 'wanna', 'damsel', 'patterned', 'alley', 'smoke', 'sorrow', 'slow', 'dances', 'phones', 'lighting', 'taking', 'chances', 'close', 'close', 'watching', 'cowboy', 'films', 'gloomy', 'afternoons', 'tinting', 'solitude', 'dancing', 'shoes', 'know', 'got', 'moves', 'stunts', 'high', 'noon', 'changed', 'tune', 'linking', 'arms', 'sinking', 'hearts', 'sorrow', 'slow', 'dances', 'edges', 'eyes', 'taking', 'chances', 'win', 'prize', 'watching', 'cowboy', 'films', 'gloomy', 'afternoons', 'tinting', 'solitude', 'dancing', 'shoes', 'know', 'got', 'moves', 'high', 'green', 'high', 'green']",6,Social Scenes
The Hellcat Spangled Shalalala,rock,arctic monkeys,2011,86339,"[Verse 1]
Just when things are getting complicated
In the eye of the storm
She flicks a red-hot revelation
Off the tip of her tongue
It does a dozen somersaults
And leaves you supercharged
Makes me wanna blow the candles out
Just to see if you glow in the dark

[Chorus]
Shalalala
Shalalala
Shalalala
Shalalala

[Verse 2]
Home sweet home, home sweet home
Home sweet booby-trap
I took the batteries out my mysticism
And put 'em in my thinking cap
She's got a telescopic hallelujah
Hanging up on her wall
For when it gets too complicated
In the eye of the storm
[Chorus]
Shalalala
Shalalala
Shalalala
Shalalala
Oh, oh-oh-oh

[Bridge]
And in a hellcat spangled cavern
When your judgement's on the run
And you're acting like a stranger
'Cause you thought it looked like fun
And did you ever get the feeling
That these are things she's said before?
Her steady hands may well have done the devil's pedicure
What you waiting for?
Sing another fucking shalalala

[Outro]
Shalalala
Shalalala
Shalalala",en,"just when things are getting complicated in the eye of the storm she flicks a red-hot revelation off the tip of her tongue it does a dozen somersaults and leaves you supercharged makes me wanna blow the candles out just to see if you glow in the dark  shalalala shalalala shalalala shalalala  home sweet home , home sweet home home sweet booby-trap i took the batteries out my mysticism and put 'em in my thinking cap she's got a telescopic hallelujah hanging up on her wall for when it gets too complicated in the eye of the storm  shalalala shalalala shalalala shalalala oh , oh-oh-oh  and in a hellcat spangled cavern when your judgement's on the run and you're acting like a stranger 'cause you thought it looked like fun and did you ever get the feeling that these are things she's said before ? her steady hands may well have done the devil's pedicure what you waiting for ? sing another fucking shalalala  shalalala shalalala shalalala","['things', 'getting', 'complicated', 'eye', 'storm', 'flicks', 'red', 'hot', 'revelation', 'tip', 'tongue', 'dozen', 'somersaults', 'leaves', 'supercharged', 'makes', 'wanna', 'blow', 'candles', 'glow', 'dark', 'shalalala', 'shalalala', 'shalalala', 'shalalala', 'home', 'sweet', 'home', 'home', 'sweet', 'home', 'home', 'sweet', 'booby', 'trap', 'took', 'batteries', 'mysticism', 'thinking', 'cap', 'got', 'telescopic', 'hallelujah', 'hanging', 'wall', 'gets', 'complicated', 'eye', 'storm', 'shalalala', 'shalalala', 'shalalala', 'shalalala', 'oh', 'oh', 'oh', 'oh', 'hellcat', 'spangled', 'cavern', 'judgement', 'run', 'acting', 'like', 'stranger', 'thought', 'looked', 'like', 'fun', 'feeling', 'things', 'said', 'steady', 'hands', 'devil', 'pedicure', 'waiting', 'sing', 'fucking', 'shalalala', 'shalalala', 'shalalala', 'shalalala']",5,Love & Emotions
Love Is a Laserquest,rock,arctic monkeys,2011,216524,"[Verse 1]
Do you still feel younger than you thought you would by now
Or darling, have you started feeling old yet?
Don't worry, I'm sure that you're still breaking hearts
With the efficiency that only youth can harness

And do you still think love is a laserquest
Or do you take it all more seriously?
I've tried to ask you this in some daydreams that I've had
But you're always busy being make-believe

[Chorus]
And do you look into the mirror to remind yourself you're there
Or have somebody's goodnight kisses got that covered?
When I'm not being honest
I pretend that you were just some lover

[Verse 2]
Now I can't think of there without thinking of you
I doubt that comes as a surprise
And I can't think of anything to dream about
I can't find anywhere to hide
[Chorus]
And when I'm hanging on by the rings around my eyes
And I convince myself I need another
And for a minute, it gets easier
To pretend that you were just some lover

[Instrumental Break]

[Chorus]
When I'm pipe and slippers and rocking chair
Singing dreadful songs about summer
Will I have found a better method of
Pretending you were just some lover?
Will I have found a better method of
Pretending you were just some lover?",en,"do you still feel younger than you thought you would by now or darling , have you started feeling old yet ? don't worry , i'm sure that you're still breaking hearts with the efficiency that only youth can harness and do you still think love is a laserquest or do you take it all more seriously ? i've tried to ask you this in some daydreams that i've had but you're always busy being make-believe  and do you look into the mirror to remind yourself you're there or have somebody's goodnight kisses got that covered ? when i'm not being honest i pretend that you were just some lover  now i can't think of there without thinking of you i doubt that comes as a surprise and i can't think of anything to dream about i can't find anywhere to hide  and when i'm hanging on by the rings around my eyes and i convince myself i need another and for a minute , it gets easier to pretend that you were just some lover   when i'm pipe and slippers and rocking chair singing dreadful songs about summer will i have found a better method of pretending you were just some lover ? will i have found a better method of pretending you were just some lover ?","['feel', 'younger', 'thought', 'darling', 'started', 'feeling', 'old', 'worry', 'sure', 'breaking', 'hearts', 'efficiency', 'youth', 'harness', 'think', 'love', 'laserquest', 'seriously', 'tried', 'ask', 'daydreams', 'busy', 'believe', 'look', 'mirror', 'remind', 'somebody', 'goodnight', 'kisses', 'got', 'covered', 'honest', 'pretend', 'lover', 'think', 'thinking', 'doubt', 'comes', 'surprise', 'think', 'dream', 'find', 'hide', 'hanging', 'rings', 'eyes', 'convince', 'need', 'minute', 'gets', 'easier', 'pretend', 'lover', 'pipe', 'slippers', 'rocking', 'chair', 'singing', 'dreadful', 'songs', 'summer', 'found', 'better', 'method', 'pretending', 'lover', 'found', 'better', 'method', 'pretending', 'lover']",7,Social Scenes
Library Pictures,rock,arctic monkeys,2011,59676,"[Intro]
I'm in a vest

[Verse 1]
Library pictures of the quickening canoe
The first of its kind to get to the moon
Trust some ellipses to chase you 'round the room
Through curly straws and metaphors and goo

[Verse 2]
Been watching all the neon blossom flickering
You look as if you've all forgotten where you've been
Going riding through the thunder suckle fuzz canyon
Ten, nine, eight, seven, six, five, four, three, two, one

[Verse 3]
Library pictures of the quickening canoe
The first of its kind to get to the moon
Give me an eeny, meeny, miny, moe
Or an ip, dip, dog shit rock and roll",en,"i'm in a vest  library pictures of the quickening canoe the first of its kind to get to the moon trust some ellipses to chase you 'round the room through curly straws and metaphors and goo  been watching all the neon blossom flickering you look as if you've all forgotten where you've been going riding through the thunder suckle fuzz canyon ten , nine , eight , seven , six , five , four , three , two , one  library pictures of the quickening canoe the first of its kind to get to the moon give me an eeny , meeny , miny , moe or an ip , dip , dog shit rock and roll","['vest', 'library', 'pictures', 'quickening', 'canoe', 'kind', 'moon', 'trust', 'ellipses', 'chase', 'round', 'room', 'curly', 'straws', 'metaphors', 'goo', 'watching', 'neon', 'blossom', 'flickering', 'look', 'forgotten', 'going', 'riding', 'thunder', 'suckle', 'fuzz', 'canyon', 'seven', 'library', 'pictures', 'quickening', 'canoe', 'kind', 'moon', 'eeny', 'meeny', 'miny', 'moe', 'ip', 'dip', 'dog', 'shit', 'rock', 'roll']",10,Social Scenes
Dont Sit Down Cause Ive Moved Your Chair,rock,arctic monkeys,2011,86785,"[Verse 1]
Break a mirror, roll the dice
Run with scissors through a chip pan fire fight
Go into business with a grizzly bear
But just don't sit down 'cause I've moved your chair

[Verse 2]
Find a well-known hard man and start a fight
Wear your shell suit on bonfire night
Fill in a circular hole with a peg that's square
But just don't sit down 'cause I've moved your chair

[Chorus]
Oooh, yeah, yeah, yeah
Oooh, yeah, yeah, yeah

[Verse 3]
Bite the lightning and tell me how it tastes
Kung fu fighting on your roller skates
Do the Macarena in the devil's lair
But just don't sit down 'cause I've moved your chair
[Chorus]
Oooh, yeah, yeah, yeah
Oooh, yeah, yeah, yeah
Oooh, yeah, yeah, yeah
Oooh",en,"break a mirror , roll the dice run with scissors through a chip pan fire fight go into business with a grizzly bear but just don't sit down 'cause i've moved your chair  find a well-known hard man and start a fight wear your shell suit on bonfire night fill in a circular hole with a peg that's square but just don't sit down 'cause i've moved your chair  oooh , yeah , yeah , yeah oooh , yeah , yeah , yeah  bite the lightning and tell me how it tastes kung fu fighting on your roller skates do the macarena in the devil's lair but just don't sit down 'cause i've moved your chair  oooh , yeah , yeah , yeah oooh , yeah , yeah , yeah oooh , yeah , yeah , yeah oooh","['break', 'mirror', 'roll', 'dice', 'run', 'scissors', 'chip', 'pan', 'fire', 'fight', 'business', 'grizzly', 'bear', 'sit', 'moved', 'chair', 'find', 'known', 'hard', 'man', 'start', 'fight', 'wear', 'shell', 'suit', 'bonfire', 'night', 'fill', 'circular', 'hole', 'peg', 'square', 'sit', 'moved', 'chair', 'oooh', 'yeah', 'yeah', 'yeah', 'oooh', 'yeah', 'yeah', 'yeah', 'bite', 'lightning', 'tell', 'tastes', 'kung', 'fu', 'fighting', 'roller', 'skates', 'macarena', 'devil', 'lair', 'sit', 'moved', 'chair', 'oooh', 'yeah', 'yeah', 'yeah', 'oooh', 'yeah', 'yeah', 'yeah', 'oooh', 'yeah', 'yeah', 'yeah', 'oooh']",2,Love & Emotions
