title,tag,artist,year,views,lyrics,language,processed_lyrics,processed_LDA_lyrics,topic,theme
​ocean eyes Astronomyy Remix,pop,billie eilish,2017,191374,"[Verse 1: Billie Eilish]
I've been watching you
For some time
Can't stop staring
At those oceans eyes
Burning cities
And napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus: Billie Eilish]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes

[Chorus: Billie Eilish & Astronomyy]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
[Verse 2: Billie Eilish]
I've been walking through
A world gone blind
Can't stop thinking of your diamond mind
Careful creature
Made friends with time
He left her lonely with a diamond mind
And those ocean eyes

[Chorus: Billie Eilish]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes

[Chorus: Billie Eilish & Astronomyy]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes
[Chorus: Billie Eilish]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes",en,i've been watching you for some time can't stop staring at those oceans eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes  i've been walking through a world gone blind can't stop thinking of your diamond mind careful creature made friends with time he left her lonely with a diamond mind and those ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes,"['watching', 'time', 'stop', 'staring', 'oceans', 'eyes', 'burning', 'cities', 'napalm', 'skies', 'flares', 'inside', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'walking', 'world', 'gone', 'blind', 'stop', 'thinking', 'diamond', 'mind', 'careful', 'creature', 'friends', 'time', 'left', 'lonely', 'diamond', 'mind', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes']",8,Reflective and Introspective
​ocean eyes blackbear Remix,pop,billie eilish,2017,352681,"[Verse 1: Billie Eilish]
I've been watching you for some time
Can't stop staring at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus: Billie Eilish]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes

[Verse 2: blackbear]
Yeah, yeah-eah-eah
I ain't really trippin' if you wanna go
I know I made you cry last year when I was on the road
I meant it when I said it, you can always hit my phone
(213) 267-9932, girl you know-ow-ow
I'ma make this fetty, ooh-ooh-ooh-ooh
I never would forget you, ooh-ooh-ooh-ooh
Look me in my eyes, tell me you ain't a part of me, no fair
[Chorus: Billie Eilish & blackbear & Both]
No fair (Yeah, yeah-eah-eah)
You really know how to make me cry
When you give me those ocean eyes
I'm scared (Girl, I'm scared)
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes (Ocean eyes)
No fair (No fair, no fair)
You really know how to make me cry (Know how to make me cry)
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Falling into your ocean eyes

[Outro: Billie Eilish]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Falling into your ocean eyes
Those ocean eyes",en,"i've been watching you for some time can't stop staring at those ocean eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes  yeah , yeah-eah-eah i ain't really trippin' if you wanna go i know i made you cry last year when i was on the road i meant it when i said it , you can always hit my phone  267-9932 , girl you know-ow-ow i'ma make this fetty , ooh-ooh-ooh-ooh i never would forget you , ooh-ooh-ooh-ooh look me in my eyes , tell me you ain't a part of me , no fair  no fair  you really know how to make me cry when you give me those ocean eyes i'm scared  i've never fallen from quite this high falling into your ocean eyes those ocean eyes  no fair  you really know how to make me cry  when you give me those ocean eyes  i'm scared  i've never fallen from quite this high falling into your ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes","['watching', 'time', 'stop', 'staring', 'ocean', 'eyes', 'burning', 'cities', 'napalm', 'skies', 'flares', 'inside', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'yeah', 'yeah', 'eah', 'eah', 'ai', 'trippin', 'wanna', 'know', 'cry', 'year', 'road', 'meant', 'said', 'hit', 'phone', 'girl', 'know', 'ow', 'ow', 'fetty', 'ooh', 'ooh', 'ooh', 'ooh', 'forget', 'ooh', 'ooh', 'ooh', 'ooh', 'look', 'eyes', 'tell', 'ai', 'fair', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'falling', 'ocean', 'eyes', 'ocean', 'eyes']",8,Reflective and Introspective
​​ocean eyes,pop,billie eilish,2015,1576197,"[Verse 1]
I've been watchin' you for some time
Can't stop starin' at those ocean eyes
Burning cities and napalm skies
Fifteen flares inside those ocean eyes
Your ocean eyes

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Verse 2]
I've been walkin' through a world gone blind
Can't stop thinkin' of your diamond mind
Careful creature made friends with time
He left her lonely with a diamond mind
And those ocean eyes
[Chorus]
No fair (No fair)
You really know how to make me cry
When you give me those ocean eyes (Those ocean eyes)
I'm scared (I'm scared)
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes

[Bridge]
(Seye naeco esoht)
(Seye naeco ruoy otni 'nillaf)
Da-da-da-da-da, da-da-da-da-da (Hgih siht etiuq morf nellaf reven ev'I)
(Deracs m'I) Da-da-da-da-da-da
Da-da-da (Seye naeco esoht em evig uoy nehw)
Mmm (Yrc em ekam ot woh wonk yllaer uoy)
Mmm (Riaf on)

[Chorus]
No fair
You really know how to make me cry
When you give me those ocean eyes
I'm scared
I've never fallen from quite this high
Fallin' into your ocean eyes
Those ocean eyes",en,"i've been watchin' you for some time can't stop starin' at those ocean eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes  no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes  i've been walkin' through a world gone blind can't stop thinkin' of your diamond mind careful creature made friends with time he left her lonely with a diamond mind and those ocean eyes  no fair  you really know how to make me cry when you give me those ocean eyes  i'm scared  i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes    da-da-da-da-da , da-da-da-da-da   da-da-da-da-da-da da-da-da  mmm  mmm   no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high fallin' into your ocean eyes those ocean eyes","['watchin', 'time', 'stop', 'starin', 'ocean', 'eyes', 'burning', 'cities', 'napalm', 'skies', 'flares', 'inside', 'ocean', 'eyes', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'fallin', 'ocean', 'eyes', 'ocean', 'eyes', 'walkin', 'world', 'gone', 'blind', 'stop', 'thinkin', 'diamond', 'mind', 'careful', 'creature', 'friends', 'time', 'left', 'lonely', 'diamond', 'mind', 'ocean', 'eyes', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'fallin', 'ocean', 'eyes', 'ocean', 'eyes', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'da', 'mmm', 'mmm', 'fair', 'know', 'cry', 'ocean', 'eyes', 'scared', 'fallen', 'high', 'fallin', 'ocean', 'eyes', 'ocean', 'eyes']",8,Reflective and Introspective
Fingers Crossed,pop,billie eilish,2015,130535,"[Verse 1]
In the end, when they're all gone
When the world is silent and the days are long
Just you and I, we'll be alive
We made it on our own

[Chorus]
'Cause everybody makes it 'till they don't
And everybody wants to think they won't
'Cause everybody makes it 'till they don't
And everybody seems to think they won't, they won't, they won't, they won't

[Verse 2]
Maybe I'm still alive but my heart is beating slow
Baby, tell me I gotta know
Are you okay? You seem too far gone
Infected, standing there all alone

[Chorus]
'Cause everybody makes it 'till they don't
And everybody wants to think they won't
And everybody makes it 'till they don't
And everybody seems to think they won't, they won't, they won't, they won't
[Post-Chorus]
The best of me, the best of me is you
The best of me, the best of me was you

[Outro]
Whoa, whoa, whoa, whoa
Ladum, badum, mmmm",en,"in the end , when they're all gone when the world is silent and the days are long just you and i , we'll be alive we made it on our own  'cause everybody makes it 'till they don't and everybody wants to think they won't 'cause everybody makes it 'till they don't and everybody seems to think they won't , they won't , they won't , they won't  maybe i'm still alive but my heart is beating slow baby , tell me i gotta know are you okay ? you seem too far gone infected , standing there all alone  'cause everybody makes it 'till they don't and everybody wants to think they won't and everybody makes it 'till they don't and everybody seems to think they won't , they won't , they won't , they won't  the best of me , the best of me is you the best of me , the best of me was you  whoa , whoa , whoa , whoa ladum , badum , mmmm","['end', 'gone', 'world', 'silent', 'days', 'long', 'alive', 'everybody', 'makes', 'till', 'everybody', 'wants', 'think', 'wo', 'everybody', 'makes', 'till', 'everybody', 'think', 'wo', 'wo', 'wo', 'wo', 'maybe', 'alive', 'heart', 'beating', 'slow', 'baby', 'tell', 'got', 'ta', 'know', 'okay', 'far', 'gone', 'infected', 'standing', 'everybody', 'makes', 'till', 'everybody', 'wants', 'think', 'wo', 'everybody', 'makes', 'till', 'everybody', 'think', 'wo', 'wo', 'wo', 'wo', 'best', 'best', 'best', 'best', 'whoa', 'whoa', 'whoa', 'whoa', 'ladum', 'badum', 'mmmm']",1,Emotional and Personal
​sHEs brOKen,pop,billie eilish,2015,130909,"[Verse 1]
Another story of girl meets boy, and gets destroyed, uh, oh
Another promise broken in two, the lucky view of fiction

[Pre-Chorus]
Fade away, fade away
Teach me how to fade away
Another story of girl meets boy

[Chorus]
He's okay, she's broken
He's the ocean waves, she's chokin'
Fade away, fade away
Teach me how to fade away
Another story of girl meets boy

[Verse 2]
So picture perfect, it can't be real and all you feel is numb
You see them talking but hear no sound to hit the ground
And fade
[Chorus]
He's okay, she's broken
He's the ocean waves, she's chokin'

[Outro]
Don't want it, don't need it
Don't want it
Don't want it, don't need it
Don't want it
Don't want it, don't need it
Don't want it
Don't need it, don't, don't need it
Don't need it, don't, don't need it
Don't need it, don't, don't need it",en,"another story of girl meets boy , and gets destroyed , uh , oh another promise broken in two , the lucky view of fiction  fade away , fade away teach me how to fade away another story of girl meets boy  he's okay , she's broken he's the ocean waves , she's chokin' fade away , fade away teach me how to fade away another story of girl meets boy  so picture perfect , it can't be real and all you feel is numb you see them talking but hear no sound to hit the ground and fade  he's okay , she's broken he's the ocean waves , she's chokin'  don't want it , don't need it don't want it don't want it , don't need it don't want it don't want it , don't need it don't want it don't need it , don't , don't need it don't need it , don't , don't need it don't need it , don't , don't need it","['story', 'girl', 'meets', 'boy', 'gets', 'destroyed', 'uh', 'oh', 'promise', 'broken', 'lucky', 'view', 'fiction', 'fade', 'away', 'fade', 'away', 'teach', 'fade', 'away', 'story', 'girl', 'meets', 'boy', 'okay', 'broken', 'ocean', 'waves', 'chokin', 'fade', 'away', 'fade', 'away', 'teach', 'fade', 'away', 'story', 'girl', 'meets', 'boy', 'picture', 'perfect', 'real', 'feel', 'numb', 'talking', 'hear', 'sound', 'hit', 'ground', 'fade', 'okay', 'broken', 'ocean', 'waves', 'chokin', 'want', 'need', 'want', 'want', 'need', 'want', 'want', 'need', 'want', 'need', 'need', 'need', 'need', 'need', 'need']",2,Emotional and Personal
​bellyache,pop,billie eilish,2017,1265616,"[Intro]
Mind
Mind

[Verse 1]
Sittin' all alone
Mouth full of gum
In the driveway
My friends aren't far
In the back of my car
Lay their bodies

[Pre-Chorus]
Where's my mind?
Where's my mind?

[Verse 2]
They'll be here pretty soon
Lookin' through my room
For the money
I'm bitin' my nails
I'm too young to go to jail
It's kinda funny
[Pre-Chorus]
Where's my mind?
Where's my mind?
Where's my mind?
Where's my mind?

[Chorus]
Maybe it's in the gutter
Where I left my lover
What an expensive fake
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache
(Mind)

[Verse 3]
Everything I do
The way I wear my noose
Like a necklace
I wanna make 'em scared
Like I could be anywhere
Like I'm reckless

[Pre-Chorus]
I lost my mind
I don't mind
Where's my mind?
Where's my mind?
[Chorus]
Maybe it's in the gutter
Where I left my lover
What an expensive fake
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache
(Bellyache, bellyache, bellyache, bellyache
Bellyache, bellyache)
Maybe it's in the gutter
Where I left my lover
What an expensive fake
My V is for Vendetta
Thought that I'd feel better
But now I got a bellyache",en,mind mind  sittin' all alone mouth full of gum in the driveway my friends aren't far in the back of my car lay their bodies  where's my mind ? where's my mind ?  they'll be here pretty soon lookin' through my room for the money i'm bitin' my nails i'm too young to go to jail it's kinda funny  where's my mind ? where's my mind ? where's my mind ? where's my mind ?  maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache   everything i do the way i wear my noose like a necklace i wanna make 'em scared like i could be anywhere like i'm reckless  i lost my mind i don't mind where's my mind ? where's my mind ?  maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache  maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache,"['mind', 'mind', 'sittin', 'mouth', 'gum', 'driveway', 'friends', 'far', 'car', 'lay', 'bodies', 'mind', 'mind', 'pretty', 'soon', 'lookin', 'room', 'money', 'bitin', 'nails', 'young', 'jail', 'kinda', 'funny', 'mind', 'mind', 'mind', 'mind', 'maybe', 'gutter', 'left', 'lover', 'expensive', 'fake', 'v', 'vendetta', 'thought', 'feel', 'better', 'got', 'bellyache', 'way', 'wear', 'noose', 'like', 'necklace', 'wanna', 'scared', 'like', 'like', 'reckless', 'lost', 'mind', 'mind', 'mind', 'mind', 'maybe', 'gutter', 'left', 'lover', 'expensive', 'fake', 'v', 'vendetta', 'thought', 'feel', 'better', 'got', 'bellyache', 'maybe', 'gutter', 'left', 'lover', 'expensive', 'fake', 'v', 'vendetta', 'thought', 'feel', 'better', 'got', 'bellyache']",7,Emotional and Personal
Bored,pop,billie eilish,2017,674216,"[Intro]
Ah, ah

[Verse 1]
The games you played were never fun
You'd say you'd stay but then you'd run, ah

[Pre-Chorus]
Giving you what you're begging for
Giving you what you say I need
I don't want any settled scores
I just want you to set me free
Giving you what you're begging for
Giving you what you say I need, say I need

[Chorus]
I'm not afraid anymore
What makes you sure you're all I need? (I need)
Forget about it
When you walk out the door and leave me torn
You're teaching me to live without it
Bored, I'm so bored, I'm so bored, so bored
[Verse 2]
I'm home alone, you're God-knows-where
I hope you don't think that shit's fair, ah

[Pre-Chorus]
Giving you all you want and more
Giving you every piece of me
I don't want love I can't afford
I just want you to love for free
Can't you see that I'm getting bored?
Giving you every piece of me, piece of me

[Chorus]
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
When you walk out the door and leave me torn
You're teaching me to live without it
Bored, I'm so bored, I'm so bored, so bored

[Pre-Chorus]
Giving you what you're begging for
Giving you what you say I need
I don't want any settled scores
I just want you to set me free
Giving you what you're begging for
Giving you what you say I need, say I need
[Chorus]
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
And when you walk out the door and leave me torn
You're teaching me to live without it",en,"ah , ah  the games you played were never fun you'd say you'd stay but then you'd run , ah  giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need , say i need  i'm not afraid anymore what makes you sure you're all i need ?  forget about it when you walk out the door and leave me torn you're teaching me to live without it bored , i'm so bored , i'm so bored , so bored  i'm home alone , you're god-knows-where i hope you don't think that shit's fair , ah  giving you all you want and more giving you every piece of me i don't want love i can't afford i just want you to love for free can't you see that i'm getting bored ? giving you every piece of me , piece of me  i'm not afraid anymore what makes you sure you're all i need ? forget about it when you walk out the door and leave me torn you're teaching me to live without it bored , i'm so bored , i'm so bored , so bored  giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need , say i need  i'm not afraid anymore what makes you sure you're all i need ? forget about it and when you walk out the door and leave me torn you're teaching me to live without it","['ah', 'ah', 'games', 'played', 'fun', 'stay', 'run', 'ah', 'giving', 'begging', 'giving', 'need', 'want', 'settled', 'scores', 'want', 'set', 'free', 'giving', 'begging', 'giving', 'need', 'need', 'afraid', 'anymore', 'makes', 'sure', 'need', 'forget', 'walk', 'door', 'leave', 'torn', 'teaching', 'live', 'bored', 'bored', 'bored', 'bored', 'home', 'god', 'knows', 'hope', 'think', 'shit', 'fair', 'ah', 'giving', 'want', 'giving', 'piece', 'want', 'love', 'afford', 'want', 'love', 'free', 'getting', 'bored', 'giving', 'piece', 'piece', 'afraid', 'anymore', 'makes', 'sure', 'need', 'forget', 'walk', 'door', 'leave', 'torn', 'teaching', 'live', 'bored', 'bored', 'bored', 'bored', 'giving', 'begging', 'giving', 'need', 'want', 'settled', 'scores', 'want', 'set', 'free', 'giving', 'begging', 'giving', 'need', 'need', 'afraid', 'anymore', 'makes', 'sure', 'need', 'forget', 'walk', 'door', 'leave', 'torn', 'teaching', 'live']",2,Emotional and Personal
​my boy,pop,billie eilish,2017,842321,"[Intro]
(Three and four and)
Ba-ba-da, ba-ba-da-ba-da
Mmm, mmm

[Verse 1]
My boy's bein' sus, he was shady enough
But now he's just a shadow
My boy loves his friends like I love my split ends
And by that, I mean he cuts 'em off
(What?)

[Chorus]
My boy, my boy, my boy
Don't love me like he promised
My boy, my boy, my boy
He ain't a man and sure as hell ain't honest

[Verse 2]
My boy's bein' sus and he don't know how to cuss
He just sounds like he's tryna be his father (Who are you?)
My boy's an ugly crier but he's such a pretty liar
And by that, I mean he said he'd change
[Chorus]
My boy, my boy, my boy
Don't love me like he promised
My boy, my boy, my boy
He ain't a man and sure as hell ain't honest

[Bridge]
My boy, my-my boy, my friends
I love-love, I-I love-love my split ends
My boy (Love, love, love, love, love, love)
My-my boy (Love, love, love, love, love, love)
My boy, my (Love, love, love, love, love, love, love, love)
(Alright, dude, go trip over a knife)

[Chorus]
My boy, my boy, my boy
Don't love me like he promised
My boy, my boy, my boy
He ain't a man and sure as hell ain't honest

[Outro]
You want me to be yours? Well, then you gotta be mine
And if you want a good girl, then goodbye
You want me to be yours? Well, then you gotta be mine
And if you want a good girl, then goodbye",en,"ba-ba-da , ba-ba-da-ba-da mmm , mmm  my boy's bein' sus , he was shady enough but now he's just a shadow my boy loves his friends like i love my split ends and by that , i mean he cuts 'em off   my boy , my boy , my boy don't love me like he promised my boy , my boy , my boy he ain't a man and sure as hell ain't honest  my boy's bein' sus and he don't know how to cuss he just sounds like he's tryna be his father  my boy's an ugly crier but he's such a pretty liar and by that , i mean he said he'd change  my boy , my boy , my boy don't love me like he promised my boy , my boy , my boy he ain't a man and sure as hell ain't honest  my boy , my-my boy , my friends i love-love , i-i love-love my split ends my boy  my-my boy  my boy , my    my boy , my boy , my boy don't love me like he promised my boy , my boy , my boy he ain't a man and sure as hell ain't honest  you want me to be yours ? well , then you gotta be mine and if you want a good girl , then goodbye you want me to be yours ? well , then you gotta be mine and if you want a good girl , then goodbye","['ba', 'ba', 'da', 'ba', 'ba', 'da', 'ba', 'da', 'mmm', 'mmm', 'boy', 'bein', 'sus', 'shady', 'shadow', 'boy', 'loves', 'friends', 'like', 'love', 'split', 'ends', 'mean', 'cuts', 'boy', 'boy', 'boy', 'love', 'like', 'promised', 'boy', 'boy', 'boy', 'ai', 'man', 'sure', 'hell', 'ai', 'honest', 'boy', 'bein', 'sus', 'know', 'cuss', 'sounds', 'like', 'tryna', 'father', 'boy', 'ugly', 'crier', 'pretty', 'liar', 'mean', 'said', 'change', 'boy', 'boy', 'boy', 'love', 'like', 'promised', 'boy', 'boy', 'boy', 'ai', 'man', 'sure', 'hell', 'ai', 'honest', 'boy', 'boy', 'friends', 'love', 'love', 'love', 'love', 'split', 'ends', 'boy', 'boy', 'boy', 'boy', 'boy', 'boy', 'love', 'like', 'promised', 'boy', 'boy', 'boy', 'ai', 'man', 'sure', 'hell', 'ai', 'honest', 'want', 'got', 'ta', 'want', 'good', 'girl', 'goodbye', 'want', 'got', 'ta', 'want', 'good', 'girl', 'goodbye']",9,Edgy and Bold
​watch,pop,billie eilish,2017,969250,"[Verse 1]
Lips meet teeth and tongue
My heart skips eight beats at once
If we were meant to be, we would have been by now
See what you wanna see, but all I see is him right now

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Go ahead and watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out

[Verse 2]
Your love feels so fake
And my demands aren't high to make
If I could get to sleep, I would have slept by now
Your lies will never keep, I think you need to blow 'em out

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Go ahead and watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out
[Bridge]
When you call my name
Do you think I'll come runnin'?
You never did the same
So good at givin' me nothin'
When you close your eyes, do you picture me?
When you fantasize, am I your fantasy?
Now you know
Now I'm free

[Chorus]
I'll sit and watch your car burn
With the fire that you started in me
But you never came back to ask it out
Watch my heart burn
With the fire that you started in me
But I'll never let you back to put it out

[Outro]
Ooh, never let you back
Let you back, let you back
Never gonna let you back
Let you back",en,"lips meet teeth and tongue my heart skips eight beats at once if we were meant to be , we would have been by now see what you wanna see , but all i see is him right now  i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out  your love feels so fake and my demands aren't high to make if i could get to sleep , i would have slept by now your lies will never keep , i think you need to blow 'em out  i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out  when you call my name do you think i'll come runnin' ? you never did the same so good at givin' me nothin' when you close your eyes , do you picture me ? when you fantasize , am i your fantasy ? now you know now i'm free  i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out watch my heart burn with the fire that you started in me but i'll never let you back to put it out  ooh , never let you back let you back , let you back never gonna let you back let you back","['lips', 'meet', 'teeth', 'tongue', 'heart', 'skips', 'beats', 'meant', 'wanna', 'right', 'sit', 'watch', 'car', 'burn', 'fire', 'started', 'came', 'ask', 'ahead', 'watch', 'heart', 'burn', 'fire', 'started', 'let', 'love', 'feels', 'fake', 'demands', 'high', 'sleep', 'slept', 'lies', 'think', 'need', 'blow', 'sit', 'watch', 'car', 'burn', 'fire', 'started', 'came', 'ask', 'ahead', 'watch', 'heart', 'burn', 'fire', 'started', 'let', 'think', 'come', 'runnin', 'good', 'givin', 'close', 'eyes', 'picture', 'fantasize', 'fantasy', 'know', 'free', 'sit', 'watch', 'car', 'burn', 'fire', 'started', 'came', 'ask', 'watch', 'heart', 'burn', 'fire', 'started', 'let', 'ooh', 'let', 'let', 'let', 'gon', 'na', 'let', 'let']",10,Edgy and Bold
​idontwannabeyouanymore,pop,billie eilish,2017,2803781,"[Verse 1]
Don't be that way
Fall apart twice a day
I just wish you could feel what you say
Show, never tell
But I know you too well
Kind of mood that you wish you could sell

[Chorus]
If teardrops could be bottled
There'd be swimming pools filled by models
Told, ""A tight dress is what makes you a whore""
If ""I love you"" was a promise
Would you break it, if you're honest?
Tell the mirror what you know she's heard before
I don't wanna be you
Anymore

[Verse 2]
Hands, hands getting cold
Losing feeling is getting old
Was I made from a broken mold?
Hurt, I can't shake
We've made every mistake
Only you know the way that I break
[Chorus]
If teardrops could be bottled
There'd be swimming pools filled by models
Told, ""A tight dress is what makes you a whore""
If ""I love you"" was a promise
Would you break it, if you're honest?
Tell the mirror what you know she's heard before
I don't wanna be you
I don't wanna be you
I don't wanna be you
Anymore",en,"don't be that way fall apart twice a day i just wish you could feel what you say show , never tell but i know you too well kind of mood that you wish you could sell  if teardrops could be bottled there'd be swimming pools filled by models told , ""a tight dress is what makes you a whore"" if ""i love you"" was a promise would you break it , if you're honest ? tell the mirror what you know she's heard before i don't wanna be you anymore  hands , hands getting cold losing feeling is getting old was i made from a broken mold ? hurt , i can't shake we've made every mistake only you know the way that i break  if teardrops could be bottled there'd be swimming pools filled by models told , ""a tight dress is what makes you a whore"" if ""i love you"" was a promise would you break it , if you're honest ? tell the mirror what you know she's heard before i don't wanna be you i don't wanna be you i don't wanna be you anymore","['way', 'fall', 'apart', 'twice', 'day', 'wish', 'feel', 'tell', 'know', 'kind', 'mood', 'wish', 'sell', 'teardrops', 'bottled', 'swimming', 'pools', 'filled', 'models', 'told', 'tight', 'dress', 'makes', 'whore', 'love', 'promise', 'break', 'honest', 'tell', 'mirror', 'know', 'heard', 'wanna', 'anymore', 'hands', 'hands', 'getting', 'cold', 'losing', 'feeling', 'getting', 'old', 'broken', 'mold', 'hurt', 'shake', 'mistake', 'know', 'way', 'break', 'teardrops', 'bottled', 'swimming', 'pools', 'filled', 'models', 'told', 'tight', 'dress', 'makes', 'whore', 'love', 'promise', 'break', 'honest', 'tell', 'mirror', 'know', 'heard', 'wanna', 'wanna', 'wanna', 'anymore']",7,Emotional and Personal
