title,tag,artist,year,views,lyrics,language,processed_lyrics,processed_LDA_lyrics,topic,theme
Smells Like Teen Spirit,rock,nirvana,1991,2297062,"[Verse 1]
Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

[Pre-Chorus]
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

[Chorus]
With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

[Post-Chorus]
Yeah, hey, yay
[Verse 2]
I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end

[Pre-Chorus]
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

[Chorus]
With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

[Post-Chorus]
Yeah, hey, yay

[Guitar Solo]

[Verse 3]
And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind
[Pre-Chorus]
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

[Chorus]
With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

[Outro]
A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial",en,"load up on guns , bring your friends it's fun to lose and to pretend she's over-bored and self-assured oh no , i know a dirty word  hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello  with the lights out , it's less dangerous here we are now , entertain us i feel stupid and contagious here we are now , entertain us a mulatto , an albino a mosquito , my libido  yeah , hey , yay  i'm worse at what i do best and for this gift , i feel blessed our little group has always been and always will until the end  hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello  with the lights out , it's less dangerous here we are now , entertain us i feel stupid and contagious here we are now , entertain us a mulatto , an albino a mosquito , my libido  yeah , hey , yay   and i forget just why i taste oh yeah , i guess it makes me smile i found it hard , it's hard to find oh well , whatever , never mind  hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello , how low hello , hello , hello  with the lights out , it's less dangerous here we are now , entertain us i feel stupid and contagious here we are now , entertain us a mulatto , an albino a mosquito , my libido  a denial , a denial a denial , a denial a denial , a denial a denial , a denial a denial","['load', 'guns', 'bring', 'friends', 'fun', 'lose', 'pretend', 'bored', 'self', 'assured', 'oh', 'know', 'dirty', 'word', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'lights', 'dangerous', 'entertain', 'feel', 'stupid', 'contagious', 'entertain', 'mulatto', 'albino', 'mosquito', 'libido', 'yeah', 'hey', 'yay', 'worse', 'best', 'gift', 'feel', 'blessed', 'little', 'group', 'end', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'lights', 'dangerous', 'entertain', 'feel', 'stupid', 'contagious', 'entertain', 'mulatto', 'albino', 'mosquito', 'libido', 'yeah', 'hey', 'yay', 'forget', 'taste', 'oh', 'yeah', 'guess', 'makes', 'smile', 'found', 'hard', 'hard', 'find', 'oh', 'mind', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'low', 'hello', 'hello', 'hello', 'lights', 'dangerous', 'entertain', 'feel', 'stupid', 'contagious', 'entertain', 'mulatto', 'albino', 'mosquito', 'libido', 'denial', 'denial', 'denial', 'denial', 'denial', 'denial', 'denial', 'denial', 'denial']",8,Rebellious Spirit
Something in the Way,rock,nirvana,1991,523593,"[Verse]
Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm living off of grass and the drippings from the ceiling
It's okay to eat fish 'cause they don't have any feelings

[Chorus]
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm

[Verse]
Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm living off of grass and the drippings from the ceiling
It's okay to eat fish 'cause they don't have any feelings

[Chorus]
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm",en,"underneath the bridge , tarp has sprung a leak and the animals i've trapped have all become my pets and i'm living off of grass and the drippings from the ceiling it's okay to eat fish 'cause they don't have any feelings  something in the way , mmm something in the way , yeah , mmm something in the way , mmm something in the way , yeah , mmm something in the way , mmm something in the way , yeah , mmm  underneath the bridge , tarp has sprung a leak and the animals i've trapped have all become my pets and i'm living off of grass and the drippings from the ceiling it's okay to eat fish 'cause they don't have any feelings  something in the way , mmm something in the way , yeah , mmm something in the way , mmm something in the way , yeah , mmm something in the way , mmm something in the way , yeah , mmm something in the way , mmm something in the way , yeah , mmm","['underneath', 'bridge', 'tarp', 'sprung', 'leak', 'animals', 'trapped', 'pets', 'living', 'grass', 'drippings', 'ceiling', 'okay', 'eat', 'fish', 'feelings', 'way', 'mmm', 'way', 'yeah', 'mmm', 'way', 'mmm', 'way', 'yeah', 'mmm', 'way', 'mmm', 'way', 'yeah', 'mmm', 'underneath', 'bridge', 'tarp', 'sprung', 'leak', 'animals', 'trapped', 'pets', 'living', 'grass', 'drippings', 'ceiling', 'okay', 'eat', 'fish', 'feelings', 'way', 'mmm', 'way', 'yeah', 'mmm', 'way', 'mmm', 'way', 'yeah', 'mmm', 'way', 'mmm', 'way', 'yeah', 'mmm', 'way', 'mmm', 'way', 'yeah', 'mmm']",7,Rebellious Spirit
Pennyroyal Tea,rock,nirvana,1993,242265,"[Verse 1]
I'm on my time with everyone
I have very bad posture

[Chorus 1]
Sit and drink Pennyroyal Tea
Distill the life that's inside of me
Sit and drink Pennyroyal Tea
I'm anemic royalty

[Verse 2]
Give me a Leonard Cohen afterworld
So I can sigh eternally

[Chorus 2]
I'm so tired I can't sleep
I'm a liar and a thief
Sit and drink Pennyroyal tea
I'm anemic royalty

[Guitar Solo]
[Verse 3]
I'm on warm milk and laxatives
Cherry-flavored antacids

[Chorus 1]
Sit and drink Pennyroyal Tea
Distill the life that's inside of me
Sit and drink Pennyroyal Tea
I'm anemic royalty",en,i'm on my time with everyone i have very bad posture  sit and drink pennyroyal tea distill the life that's inside of me sit and drink pennyroyal tea i'm anemic royalty  give me a leonard cohen afterworld so i can sigh eternally  i'm so tired i can't sleep i'm a liar and a thief sit and drink pennyroyal tea i'm anemic royalty   i'm on warm milk and laxatives cherry-flavored antacids  sit and drink pennyroyal tea distill the life that's inside of me sit and drink pennyroyal tea i'm anemic royalty,"['time', 'bad', 'posture', 'sit', 'drink', 'pennyroyal', 'tea', 'distill', 'life', 'inside', 'sit', 'drink', 'pennyroyal', 'tea', 'anemic', 'royalty', 'leonard', 'cohen', 'afterworld', 'sigh', 'eternally', 'tired', 'sleep', 'liar', 'thief', 'sit', 'drink', 'pennyroyal', 'tea', 'anemic', 'royalty', 'warm', 'milk', 'laxatives', 'cherry', 'flavored', 'antacids', 'sit', 'drink', 'pennyroyal', 'tea', 'distill', 'life', 'inside', 'sit', 'drink', 'pennyroyal', 'tea', 'anemic', 'royalty']",10,Personal Struggle
Serve the Servants,rock,nirvana,1993,174352,"[Verse 1]
Teenage angst has paid off well
Now, I'm bored and old
Self-appointed judges judge
More than they have sold
If she floats then she is not
A witch like we've thought
A downpayment on another
One at Salem's lot

[Chorus]
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore

[Verse 2]
As my bones grew they did hurt
They hurt really bad
I tried hard to have a father
But instead, I had a dad
I just want you to know that I
Don't hate you anymore
There is nothing I could say
That I haven't thought before
[Chorus]
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore

[Guitar Solo]

[Chorus]
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants, oh no
Serve the servants
That legendary divorce is such a bore",en,"teenage angst has paid off well now , i'm bored and old self-appointed judges judge more than they have sold if she floats then she is not a witch like we've thought a downpayment on another one at salem's lot  serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants that legendary divorce is such a bore  as my bones grew they did hurt they hurt really bad i tried hard to have a father but instead , i had a dad i just want you to know that i don't hate you anymore there is nothing i could say that i haven't thought before  serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants that legendary divorce is such a bore   serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants , oh no serve the servants that legendary divorce is such a bore","['teenage', 'angst', 'paid', 'bored', 'old', 'self', 'appointed', 'judges', 'judge', 'sold', 'floats', 'witch', 'like', 'thought', 'downpayment', 'salem', 'lot', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'legendary', 'divorce', 'bore', 'bones', 'grew', 'hurt', 'hurt', 'bad', 'tried', 'hard', 'father', 'instead', 'dad', 'want', 'know', 'hate', 'anymore', 'thought', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'legendary', 'divorce', 'bore', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'oh', 'serve', 'servants', 'legendary', 'divorce', 'bore']",3,Social Commentary
Lithium,rock,nirvana,1992,848115,"[Verse 1]
I'm so happy, 'cause today I found my friends, they're in my head
I'm so ugly, that's okay, 'cause so are you, broke our mirrors
Sunday mornin' is every day for all I care, and I'm not scared
Light my candles in a daze, 'cause I've found God

[Chorus]
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah

[Verse 2]
I'm so lonely, that's okay, I shaved my head, and I'm not sad
And just maybe I'm to blame for all I've hurt, but I'm not sure
I'm so excited, I can't wait to meet you there, and I don't care
I'm so horny, that's okay, my will is good
[Chorus]
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah

[Bridge]
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

[Verse 1]
I'm so happy, 'cause today I found my friends, they're in my head
I'm so ugly, that's okay, 'cause so are you, broke our mirrors
Sunday mornin' is every day for all I care, and I'm not scared
Light my candles in a daze, 'cause I've found God

[Chorus]
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah
[Bridge]
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack",en,"i'm so happy , 'cause today i found my friends , they're in my head i'm so ugly , that's okay , 'cause so are you , broke our mirrors sunday mornin' is every day for all i care , and i'm not scared light my candles in a daze , 'cause i've found god  yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah  i'm so lonely , that's okay , i shaved my head , and i'm not sad and just maybe i'm to blame for all i've hurt , but i'm not sure i'm so excited , i can't wait to meet you there , and i don't care i'm so horny , that's okay , my will is good  yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah  i like it , i'm not gonna crack i miss you , i'm not gonna crack i love you , i'm not gonna crack i killed you , i'm not gonna crack i like it , i'm not gonna crack i miss you , i'm not gonna crack i love you , i'm not gonna crack i killed you , i'm not gonna crack  i'm so happy , 'cause today i found my friends , they're in my head i'm so ugly , that's okay , 'cause so are you , broke our mirrors sunday mornin' is every day for all i care , and i'm not scared light my candles in a daze , 'cause i've found god  yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah , yeah yeah  i like it , i'm not gonna crack i miss you , i'm not gonna crack i love you , i'm not gonna crack i killed you , i'm not gonna crack i like it , i'm not gonna crack i miss you , i'm not gonna crack i love you , i'm not gonna crack i killed you , i'm not gonna crack","['happy', 'today', 'found', 'friends', 'head', 'ugly', 'okay', 'broke', 'mirrors', 'sunday', 'mornin', 'day', 'care', 'scared', 'light', 'candles', 'daze', 'found', 'god', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'lonely', 'okay', 'shaved', 'head', 'sad', 'maybe', 'blame', 'hurt', 'sure', 'excited', 'wait', 'meet', 'care', 'horny', 'okay', 'good', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'like', 'gon', 'na', 'crack', 'miss', 'gon', 'na', 'crack', 'love', 'gon', 'na', 'crack', 'killed', 'gon', 'na', 'crack', 'like', 'gon', 'na', 'crack', 'miss', 'gon', 'na', 'crack', 'love', 'gon', 'na', 'crack', 'killed', 'gon', 'na', 'crack', 'happy', 'today', 'found', 'friends', 'head', 'ugly', 'okay', 'broke', 'mirrors', 'sunday', 'mornin', 'day', 'care', 'scared', 'light', 'candles', 'daze', 'found', 'god', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'like', 'gon', 'na', 'crack', 'miss', 'gon', 'na', 'crack', 'love', 'gon', 'na', 'crack', 'killed', 'gon', 'na', 'crack', 'like', 'gon', 'na', 'crack', 'miss', 'gon', 'na', 'crack', 'love', 'gon', 'na', 'crack', 'killed', 'gon', 'na', 'crack']",7,Rebellious Spirit
Polly,rock,nirvana,1991,694730,"[Verse 1]
Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blow torch

[Chorus]
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven’t told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself

[Verse 2]
Polly wants a cracker
Maybe she would like some food
She asked me to untie her
A chase would be nice for a few
[Chorus]
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven't told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself

[Verse 3]
Polly said
Polly says her back hurts
She's just as bored as me
She caught me off my guard
Amazes me, the will of instinct

[Chorus]
Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, haven't told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself",en,"polly wants a cracker i think i should get off her first i think she wants some water to put out the blow torch  isn't me , have a seed let me clip dirty wings let me take a ride , cut yourself want some help , please myself got some rope , haven’t told promise you , have been true let me take a ride , cut yourself want some help , please myself  polly wants a cracker maybe she would like some food she asked me to untie her a chase would be nice for a few  isn't me , have a seed let me clip dirty wings let me take a ride , cut yourself want some help , please myself got some rope , haven't told promise you , have been true let me take a ride , cut yourself want some help , please myself  polly said polly says her back hurts she's just as bored as me she caught me off my guard amazes me , the will of instinct  isn't me , have a seed let me clip dirty wings let me take a ride , cut yourself want some help , please myself got some rope , haven't told promise you , have been true let me take a ride , cut yourself want some help , please myself","['polly', 'wants', 'cracker', 'think', 'think', 'wants', 'water', 'blow', 'torch', 'seed', 'let', 'clip', 'dirty', 'wings', 'let', 'ride', 'cut', 'want', 'help', 'got', 'rope', 'told', 'promise', 'true', 'let', 'ride', 'cut', 'want', 'help', 'polly', 'wants', 'cracker', 'maybe', 'like', 'food', 'asked', 'untie', 'chase', 'nice', 'seed', 'let', 'clip', 'dirty', 'wings', 'let', 'ride', 'cut', 'want', 'help', 'got', 'rope', 'told', 'promise', 'true', 'let', 'ride', 'cut', 'want', 'help', 'polly', 'said', 'polly', 'says', 'hurts', 'bored', 'caught', 'guard', 'amazes', 'instinct', 'seed', 'let', 'clip', 'dirty', 'wings', 'let', 'ride', 'cut', 'want', 'help', 'got', 'rope', 'told', 'promise', 'true', 'let', 'ride', 'cut', 'want', 'help']",10,Personal Struggle
All Apologies,rock,nirvana,1993,503678,"[Verse 1]
What else should I be? All apologies
What else could I say? Everyone is gay
What else could I write? I don't have the right
What else should I be? All apologies

[Chorus]
In the sun, in the sun, I feel as one
In the sun, in the sun
Married, buried

[Verse 2]
I wish I was like you, easily amused
Find my nest of salt, everything's my fault
I'll take all the blame, aqua seafoam shame
Sunburn, freezer burn, choking on the ashes of her enemy

[Chorus]
In the sun, in the sun, I feel as one
In the sun, in the sun
Married, buried
Married, buried
Yeah, yeah, yeah, yeah
[Outro: Kurt Cobain & Dave Grohl]
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are
All in all is all we are",en,"what else should i be ? all apologies what else could i say ? everyone is gay what else could i write ? i don't have the right what else should i be ? all apologies  in the sun , in the sun , i feel as one in the sun , in the sun married , buried  i wish i was like you , easily amused find my nest of salt , everything's my fault i'll take all the blame , aqua seafoam shame sunburn , freezer burn , choking on the ashes of her enemy  in the sun , in the sun , i feel as one in the sun , in the sun married , buried married , buried yeah , yeah , yeah , yeah  all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are all in all is all we are","['apologies', 'gay', 'write', 'right', 'apologies', 'sun', 'sun', 'feel', 'sun', 'sun', 'married', 'buried', 'wish', 'like', 'easily', 'amused', 'find', 'nest', 'salt', 'fault', 'blame', 'aqua', 'seafoam', 'shame', 'sunburn', 'freezer', 'burn', 'choking', 'ashes', 'enemy', 'sun', 'sun', 'feel', 'sun', 'sun', 'married', 'buried', 'married', 'buried', 'yeah', 'yeah', 'yeah', 'yeah']",6,Social Commentary
Heart-Shaped Box,rock,nirvana,1993,957069,"[Verse 1]
She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

[Chorus]
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice

[Verse 2]
Meat-eating orchids forgive no one just yet
Cut myself on angel hair and baby's breath
Broken hymen of 'Your Highness', I'm left black
Throw down your umbilical noose so I can climb right back
[Chorus]
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice

[Guitar Solo]

[Verse 3]
She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

[Chorus]
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice
Your advice
Your advice",en,"she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice your advice  meat-eating orchids forgive no one just yet cut myself on angel hair and baby's breath broken hymen of 'your highness' , i'm left black throw down your umbilical noose so i can climb right back  hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice your advice   she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice hey ! wait ! i got a new complaint forever in debt to your priceless advice your advice your advice your advice","['eyes', 'like', 'pisces', 'weak', 'locked', 'inside', 'heart', 'shaped', 'box', 'weeks', 'drawn', 'magnet', 'tar', 'pit', 'trap', 'wish', 'eat', 'cancer', 'turn', 'black', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'advice', 'meat', 'eating', 'orchids', 'forgive', 'cut', 'angel', 'hair', 'baby', 'breath', 'broken', 'hymen', 'highness', 'left', 'black', 'throw', 'umbilical', 'noose', 'climb', 'right', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'advice', 'eyes', 'like', 'pisces', 'weak', 'locked', 'inside', 'heart', 'shaped', 'box', 'weeks', 'drawn', 'magnet', 'tar', 'pit', 'trap', 'wish', 'eat', 'cancer', 'turn', 'black', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'hey', 'wait', 'got', 'new', 'complaint', 'forever', 'debt', 'priceless', 'advice', 'advice', 'advice', 'advice']",6,Social Commentary
Come as You Are,rock,nirvana,1992,976296,"[Verse 1]
Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria

[Refrain]
Memoria
Memoria
Memoria

[Verse 2]
Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria
[Refrain]
Memoria
Memoria
Memoria

[Chorus]
And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun

[Guitar Solo]

[Refrain]
Memoria
Memoria
Memoria
Memoria (No, I don't have a gun)

[Chorus]
And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun

[Refrain]
Memoria
Memoria",en,"come as you are , as you were as i want you to be as a friend , as a friend as an old enemy take your time , hurry up choice is yours , don't be late take a rest as a friend as an old memoria  memoria memoria memoria  come doused in mud , soaked in bleach as i want you to be as a trend , as a friend as an old memoria  memoria memoria memoria  and i swear that i don't have a gun no , i don't have a gun no , i don't have a gun   memoria memoria memoria memoria   and i swear that i don't have a gun no , i don't have a gun no , i don't have a gun no , i don't have a gun no , i don't have a gun  memoria memoria","['come', 'want', 'friend', 'friend', 'old', 'enemy', 'time', 'hurry', 'choice', 'late', 'rest', 'friend', 'old', 'memoria', 'memoria', 'memoria', 'memoria', 'come', 'doused', 'mud', 'soaked', 'bleach', 'want', 'trend', 'friend', 'old', 'memoria', 'memoria', 'memoria', 'memoria', 'swear', 'gun', 'gun', 'gun', 'memoria', 'memoria', 'memoria', 'memoria', 'swear', 'gun', 'gun', 'gun', 'gun', 'gun', 'memoria', 'memoria']",1,Personal Struggle
Territorial Pissings,rock,nirvana,1991,394597,"[Intro]
Come on, people, now
Smile on your brother
Everybody get together
Try to love one another right now

[Verse 1]
When I was an alien
Cultures weren't opinions

[Chorus]
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait

[Verse 2]
Never met a wise man
If so, it's a woman

[Chorus]
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait!
[Verse 3]
Just because you're paranoid
Don't mean they're not after you

[Chorus]
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait!

[Outro]
Gotta find a way, find a way, when I'm there
Gotta find a way, a better way, I'd better wait!
Gotta find a way, find a way, when I'm there!
Gotta find a way! Aah! Aah!
Yeah!",en,"come on , people , now smile on your brother everybody get together try to love one another right now  when i was an alien cultures weren't opinions  gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait  never met a wise man if so , it's a woman  gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait !  just because you're paranoid don't mean they're not after you  gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait !  gotta find a way , find a way , when i'm there gotta find a way , a better way , i'd better wait ! gotta find a way , find a way , when i'm there ! gotta find a way ! aah ! aah ! yeah !","['come', 'people', 'smile', 'brother', 'everybody', 'try', 'love', 'right', 'alien', 'cultures', 'opinions', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'met', 'wise', 'man', 'woman', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'paranoid', 'mean', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'better', 'way', 'better', 'wait', 'got', 'ta', 'find', 'way', 'find', 'way', 'got', 'ta', 'find', 'way', 'aah', 'aah', 'yeah']",5,Personal Struggle
